,callDateTime,priority,district,description,callNumber,incidentLocation,location
1048461,11/11/2015 19:13,Medium,CD,911/NO  VOICE,P153152625,0 N GREENE ST,"(39.2892108,-76.6236958)"
1048462,11/11/2015 19:11,Medium,NE,COMMON ASSAULT,P153152626,5500 ELSRODE AV,"(39.3549010,-76.5634680)"
1048463,11/11/2015 19:15,High,NE,Traffic Stop,P153152627,BELAIR RD/PARKSIDE DR,"(39.327731,-76.565963)"
1048464,11/11/2015 19:14,Medium,ND,911/NO  VOICE,P153152628,4000 SPRUCE DR,"(39.3365506,-76.6575254)"
1048465,11/11/2015 19:12,Low,WD,AUTO ACCIDENT,P153152629,TIOGA PY/GWYNNS FALLS PY,"(39.315678,-76.658966)"
1048466,11/11/2015 19:15,Medium,NW,911/NO  VOICE,P153152630,4900 LIBERTY HEIGHTS AV,"(39.3326697,-76.6986428)"
1048467,11/11/2015 19:13,Medium,SD,DISABLED VEH,P153152631,6300 PENNINGTON AV,"(39.2079988,-76.5815873)"
1048468,3/14/2015 4:56,Low,SE,Transport,P150730520,1300 BONSAL ST,"(39.2792728,-76.5449240)"
1048469,11/11/2015 19:15,High,NE,SHOOTING,P153152632,E 0TH ST/FENWICK AV,"(39.324617,-76.590666)"
1048470,11/11/2015 19:15,High,NE,DISCHRG FIREARM,P153152633,E 0TH ST/FENWICK AV,"(39.325339,-76.590668)"
1048471,11/11/2015 19:15,High,NE,SHOOTING,P153152634,1800 E 29TH ST,"(39.3248330,-76.5905340)"
1048472,11/11/2015 19:15,Medium,TRU,911/NO  VOICE,P153152635,3200 THE ALAMEDA,"(39.3266059,-76.5943830)"
1048473,11/11/2015 19:15,High,NE,SHOOTING,P153152636,1800 E 29TH ST,"(39.3248330,-76.5905340)"
1048474,11/11/2015 19:16,Medium,ED,COMMON ASSAULT,P153152637,2100 HOMEWOOD AV,"(39.3139910,-76.6076220)"
1048475,11/11/2015 19:14,Medium,WD,NARCOTICSOutside,P153152638,800 BLK N BENTALOU ST,"(39.2974230,-76.6536820)"
1048476,11/11/2015 19:15,Medium,SW,FAMILY DISTURB,P153152639,1500 N ROSEDALE ST,"(39.3048460,-76.6693330)"
1048477,11/11/2015 19:16,Medium,NW,HIT AND RUN,P153152640,NELSON AV/ROCKFIELD AV,"(39.348914,-76.686202)"
1048478,11/11/2015 19:18,Medium,NE,911/NO  VOICE,P153152641,4300 HILLEN RD,"(39.3418475,-76.5873262)"
1048479,11/11/2015 19:15,High,SW,ARMED PERSON,P153152642,2100 WILHELM ST,"(39.2836310,-76.6502056)"
1048480,11/11/2015 19:17,Medium,NW,COMMON ASSAULT,P153152643,5500 PEERLESS AV,"(39.3364390,-76.7036520)"
1048481,11/11/2015 19:17,Low,SE,PROTECT ORDER,P153152644,1100 NEW HOPE CI,"(39.2937572,-76.6023067)"
1048482,11/11/2015 19:18,Medium,SE,NARCOTICS INSIDE,P153152646,3800 E LOMBARD ST,"(39.2922588,-76.5653648)"
1048483,11/11/2015 19:19,Medium,ED,COMMON ASSAULT,P153152647,1200 N MILTON AV,"(39.3050609,-76.5829198)"
1048484,11/11/2015 19:18,High,SW,SILENT ALARM,P153152648,1900 N DUKELAND ST,"(39.3096357,-76.6642600)"
1048485,11/11/2015 19:17,High,NE,SHOOTING,P153152649,1800 E 29TH ST,"(39.3248330,-76.5905340)"
1048486,11/11/2015 19:19,Low,SD,LARCENCY,P153152651,2200 W PATAPSCO AV,"(39.2516561,-76.6461573)"
1048487,11/11/2015 19:17,Medium,SD,COMMON ASSAULT,P153152652,HORSESHOE CASINO,"(39.274106,-76.627583)"
1048488,11/11/2015 19:20,Medium,CD,911/NO  VOICE,P153152653,300 N EUTAW ST,"(39.2929880,-76.6213830)"
1048489,11/11/2015 19:19,Medium,ND,AUTO ACCIDENT,P153152654,4100 ROLAND AV,"(39.3384740,-76.6338210)"
1048490,11/11/2015 19:20,High,SD,CUTTING,P153152655,4100 WEST BAY CT,"(39.2284784,-76.5970327)"
1048491,11/11/2015 20:25,Medium,ND,COMMON ASSAULT,P153152847,GREENMOUNT AV/WHITRIDGE AV,"(39.321531,-76.609466)"
1048492,11/11/2015 20:29,High,CD,RA POLICE,P153152848,0 N HOWARD ST,"(39.2893800,-76.6193888)"
1048493,11/11/2015 20:30,Low,NW,OTHER,P153152849,5400 REISTERSTOWN RD,"(39.3460230,-76.6883340)"
1048494,11/11/2015 20:28,Medium,SW,911/NO  VOICE,P153152850,200 S PULASKI ST,"(39.2850158,-76.6499023)"
1048495,11/11/2015 20:29,Medium,SW,911/NO  VOICE,P153152851,200 S PULASKI ST,"(39.2850158,-76.6499023)"
1048496,11/11/2015 20:27,Medium,CD,COMMON ASSAULT,P153152852,1600 W MT ROYAL AV,"(39.3099330,-76.6247560)"
1048497,11/11/2015 20:30,Low,SD,LARCENY F/AUTO,P153152853,100 W WEST ST,"(39.2755433,-76.6170050)"
1048498,11/11/2015 20:31,High,ED,Traffic Stop,P153152854,E NORTH AV/KENNEDY AV,"(39.311702,-76.604155)"
1048499,11/11/2015 20:32,Medium,WD,COMMON ASSAULT,P153152860,2000 W LANVALE ST,"(39.2976810,-76.6493860)"
1048500,11/11/2015 20:35,Medium,CW,Lab Request,P153152861,6900 MCCLEAN BL,"(39.1944390,-76.5944164)"
1048501,11/11/2015 20:31,Medium,ND,MISSING PERSON,P153152862,5900 YORK RD,"(39.3477099,-76.6074868)"
1048502,11/11/2015 20:34,Low,NE,OTHER,P153152863,5100-17 BELAIR RD,"(39.3363780,-76.5546279)"
1048503,11/11/2015 20:35,Medium,ND,BURGLARY,P153152864,2400 ROCKWOOD AV,"(39.3640679,-76.6705178)"
1048504,11/11/2015 20:35,Medium,NE,FAMILY DISTURB,P153152865,6000 AMBERWOOD RD,"(39.3178220,-76.5432350)"
1048505,11/11/2015 20:34,High,WD,SILENT ALARM,P153152866,1500 PRESSTMAN ST,"(39.3056350,-76.6420670)"
1048506,11/11/2015 20:35,Low,SW,CK WELL BEING,P153152868,1900 CHELSEA RD,"(39.3084030,-76.6799760)"
1048507,11/11/2015 19:32,High,CD,Field Interview,P153152692,N HOWARD ST/W CENTRE ST,"(39.296253,-76.619880)"
